,,Non-donation,Donation,Statistics
Disposable income,5048.0,29 (96.67%),1 (3.33%),
Disposable income,5048.8,1 (50.00%),1 (50.00%),
Disposable income,5049.0,14 (93.33%),1 (6.67%),
Disposable income,5050.4,3 (75.00%),1 (25.00%),
Disposable income,5051.8,1 (50.00%),1 (50.00%),
Disposable income,5052.0,44 (95.65%),2 (4.35%),
Disposable income,5053.0,26 (92.86%),2 (7.14%),
Disposable income,5054.0,24 (92.31%),2 (7.69%),
Disposable income,5055.0,9 (81.82%),2 (18.18%),
Disposable income,5056.0,39 (92.86%),3 (7.14%),
Disposable income,5057.0,16 (84.21%),3 (15.79%),
Disposable income,5058.0,21 (91.30%),2 (8.70%),
Disposable income,5058.4,3 (75.00%),1 (25.00%),
Disposable income,5060.0,8 (88.89%),1 (11.11%),
Disposable income,5061.0,12 (85.71%),2 (14.29%),
Disposable income,5062.0,20 (90.91%),2 (9.09%),
Disposable income,5063.0,19 (86.36%),3 (13.64%),
Disposable income,5063.8,1 (50.00%),1 (50.00%),
Disposable income,5064.0,23 (95.83%),1 (4.17%),
Disposable income,5065.0,14 (87.50%),2 (12.50%),
Disposable income,5066.0,20 (90.91%),2 (9.09%),
Disposable income,5068.0,33 (89.19%),4 (10.81%),
Disposable income,5070.0,23 (92.00%),2 (8.00%),
Disposable income,5071.0,17 (89.47%),2 (10.53%),
Disposable income,5072.0,31 (93.94%),2 (6.06%),
Disposable income,5073.0,22 (95.65%),1 (4.35%),
Disposable income,5075.0,30 (93.75%),2 (6.25%),
Disposable income,5076.0,40 (93.02%),3 (6.98%),
Disposable income,5077.0,26 (96.30%),1 (3.70%),
Disposable income,5078.0,38 (92.68%),3 (7.32%),
Disposable income,5079.0,28 (84.85%),5 (15.15%),
Disposable income,5080.0,24 (85.71%),4 (14.29%),
Disposable income,5080.8,3 (75.00%),1 (25.00%),
Disposable income,5081.0,21 (95.45%),1 (4.55%),
Disposable income,5082.0,41 (97.62%),1 (2.38%),
Disposable income,5083.0,30 (88.24%),4 (11.76%),
Disposable income,5084.0,32 (94.12%),2 (5.88%),
Disposable income,5085.0,27 (96.43%),1 (3.57%),
Disposable income,5086.0,22 (81.48%),5 (18.52%),
Disposable income,5087.0,12 (92.31%),1 (7.69%),
Disposable income,5088.0,11 (91.67%),1 (8.33%),
Disposable income,5089.0,33 (94.29%),2 (5.71%),
Disposable income,5090.0,35 (97.22%),1 (2.78%),
Disposable income,5091.0,45 (97.83%),1 (2.17%),
Disposable income,5092.0,29 (93.55%),2 (6.45%),
Disposable income,5093.0,11 (91.67%),1 (8.33%),
Disposable income,5094.0,59 (98.33%),1 (1.67%),
Disposable income,5095.0,37 (92.50%),3 (7.50%),
Disposable income,5096.0,16 (80.00%),4 (20.00%),
Disposable income,5097.0,38 (92.68%),3 (7.32%),
Disposable income,5097.2,4 (80.00%),1 (20.00%),
Disposable income,5098.0,28 (96.55%),1 (3.45%),
Disposable income,5099.0,20 (90.91%),2 (9.09%),
Disposable income,5100.0,58 (95.08%),3 (4.92%),
Disposable income,5102.0,29 (96.67%),1 (3.33%),
Disposable income,5103.0,15 (75.00%),5 (25.00%),
Disposable income,5104.0,16 (94.12%),1 (5.88%),
Disposable income,5105.0,21 (91.30%),2 (8.70%),
Disposable income,5106.0,26 (92.86%),2 (7.14%),
Disposable income,5107.0,20 (95.24%),1 (4.76%),
Disposable income,5109.0,16 (94.12%),1 (5.88%),
Disposable income,5110.0,47 (90.38%),5 (9.62%),
Disposable income,5111.0,21 (84.00%),4 (16.00%),
Disposable income,5112.0,28 (93.33%),2 (6.67%),
Disposable income,5114.0,18 (90.00%),2 (10.00%),
Disposable income,5115.0,45 (93.75%),3 (6.25%),
Disposable income,5116.0,14 (93.33%),1 (6.67%),
Disposable income,5117.0,23 (95.83%),1 (4.17%),
Disposable income,5118.0,33 (97.06%),1 (2.94%),
Disposable income,5120.0,14 (73.68%),5 (26.32%),
Disposable income,5121.0,21 (95.45%),1 (4.55%),
Disposable income,5122.0,20 (95.24%),1 (4.76%),
Disposable income,5123.0,26 (92.86%),2 (7.14%),
Disposable income,5124.0,15 (88.24%),2 (11.76%),
Disposable income,5125.0,21 (87.50%),3 (12.50%),
Disposable income,5126.0,44 (83.02%),9 (16.98%),
Disposable income,5127.0,19 (90.48%),2 (9.52%),
Disposable income,5128.0,16 (80.00%),4 (20.00%),
Disposable income,5129.0,32 (91.43%),3 (8.57%),
Disposable income,5130.0,25 (86.21%),4 (13.79%),
Disposable income,5131.0,23 (82.14%),5 (17.86%),
Disposable income,5132.0,27 (96.43%),1 (3.57%),
Disposable income,5132.2,2 (66.67%),1 (33.33%),
Disposable income,5134.0,17 (89.47%),2 (10.53%),
Disposable income,5135.0,39 (97.50%),1 (2.50%),
Disposable income,5136.0,19 (95.00%),1 (5.00%),
Disposable income,5137.0,23 (92.00%),2 (8.00%),
Disposable income,5138.0,25 (96.15%),1 (3.85%),
Disposable income,5139.0,22 (95.65%),1 (4.35%),
Disposable income,5140.0,20 (90.91%),2 (9.09%),
Disposable income,5141.0,25 (96.15%),1 (3.85%),
Disposable income,5142.0,16 (94.12%),1 (5.88%),
Disposable income,5143.0,28 (90.32%),3 (9.68%),
Disposable income,5144.0,26 (89.66%),3 (10.34%),
Disposable income,5145.0,5 (83.33%),1 (16.67%),
Disposable income,5147.0,21 (91.30%),2 (8.70%),
Disposable income,5148.0,49 (89.09%),6 (10.91%),
Disposable income,5149.0,15 (93.75%),1 (6.25%),
Disposable income,5151.0,36 (90.00%),4 (10.00%),
Disposable income,5152.0,13 (92.86%),1 (7.14%),
Disposable income,5153.0,28 (90.32%),3 (9.68%),
Disposable income,5155.0,6 (75.00%),2 (25.00%),
Disposable income,5157.0,12 (92.31%),1 (7.69%),
Disposable income,5158.0,21 (91.30%),2 (8.70%),
Disposable income,5159.0,24 (92.31%),2 (7.69%),
Disposable income,5160.0,18 (90.00%),2 (10.00%),
Disposable income,5161.0,29 (96.67%),1 (3.33%),
Disposable income,5162.0,16 (94.12%),1 (5.88%),
Disposable income,5163.0,30 (96.77%),1 (3.23%),
Disposable income,5164.0,14 (93.33%),1 (6.67%),
Disposable income,5165.0,5 (71.43%),2 (28.57%),
Disposable income,5166.0,16 (80.00%),4 (20.00%),
Disposable income,5167.0,25 (89.29%),3 (10.71%),
Disposable income,5168.0,22 (84.62%),4 (15.38%),
Disposable income,5169.0,39 (92.86%),3 (7.14%),
Disposable income,5170.0,19 (86.36%),3 (13.64%),
Disposable income,5172.0,33 (89.19%),4 (10.81%),
Disposable income,5173.0,16 (84.21%),3 (15.79%),
Disposable income,5173.6,2 (50.00%),2 (50.00%),
Disposable income,5174.0,23 (92.00%),2 (8.00%),
Disposable income,5175.0,15 (93.75%),1 (6.25%),
Disposable income,5176.0,34 (97.14%),1 (2.86%),
Disposable income,5178.0,17 (73.91%),6 (26.09%),
Disposable income,5179.0,17 (89.47%),2 (10.53%),
Disposable income,5180.0,52 (94.55%),3 (5.45%),
Disposable income,5182.0,45 (90.00%),5 (10.00%),
Disposable income,5184.0,56 (91.80%),5 (8.20%),
Disposable income,5185.0,19 (90.48%),2 (9.52%),
Disposable income,5186.0,14 (93.33%),1 (6.67%),
Disposable income,5187.0,21 (95.45%),1 (4.55%),
Disposable income,5188.0,13 (86.67%),2 (13.33%),
Disposable income,5189.0,29 (85.29%),5 (14.71%),
Disposable income,5189.4,1 (50.00%),1 (50.00%),
Disposable income,5190.0,31 (96.88%),1 (3.12%),
Disposable income,5191.0,26 (96.30%),1 (3.70%),
Disposable income,5192.0,19 (90.48%),2 (9.52%),
Disposable income,5193.0,17 (89.47%),2 (10.53%),
Disposable income,5194.0,15 (68.18%),7 (31.82%),
Disposable income,5195.0,18 (94.74%),1 (5.26%),
Disposable income,5197.0,31 (91.18%),3 (8.82%),
Disposable income,5198.0,36 (94.74%),2 (5.26%),
Disposable income,5199.0,15 (83.33%),3 (16.67%),
Disposable income,5200.0,24 (88.89%),3 (11.11%),
Disposable income,5201.0,15 (65.22%),8 (34.78%),
Disposable income,5202.0,21 (91.30%),2 (8.70%),
Disposable income,5203.0,18 (90.00%),2 (10.00%),
Disposable income,5204.0,27 (90.00%),3 (10.00%),
Disposable income,5204.4,2 (66.67%),1 (33.33%),
Disposable income,5205.0,38 (95.00%),2 (5.00%),
Disposable income,5206.0,36 (94.74%),2 (5.26%),
Disposable income,5207.0,21 (95.45%),1 (4.55%),
Disposable income,5208.0,39 (90.70%),4 (9.30%),
Disposable income,5209.0,23 (88.46%),3 (11.54%),
Disposable income,5210.0,23 (95.83%),1 (4.17%),
Disposable income,5211.0,31 (88.57%),4 (11.43%),
Disposable income,5212.0,31 (93.94%),2 (6.06%),
Disposable income,5212.8,9 (90.00%),1 (10.00%),
Disposable income,5214.0,21 (84.00%),4 (16.00%),
Disposable income,5215.0,14 (87.50%),2 (12.50%),
Disposable income,5216.0,22 (91.67%),2 (8.33%),
Disposable income,5217.0,20 (90.91%),2 (9.09%),
Disposable income,5219.0,33 (94.29%),2 (5.71%),
Disposable income,5220.0,33 (91.67%),3 (8.33%),
Disposable income,5221.0,27 (87.10%),4 (12.90%),
Disposable income,5222.0,20 (95.24%),1 (4.76%),
Disposable income,5223.0,44 (93.62%),3 (6.38%),
Disposable income,5224.0,18 (85.71%),3 (14.29%),
Disposable income,5224.4,2 (66.67%),1 (33.33%),
Disposable income,5225.0,29 (90.62%),3 (9.38%),
Disposable income,5227.0,21 (87.50%),3 (12.50%),
Disposable income,5228.0,8 (88.89%),1 (11.11%),
Disposable income,5229.0,30 (93.75%),2 (6.25%),
Disposable income,5230.0,10 (83.33%),2 (16.67%),
Disposable income,5231.0,40 (93.02%),3 (6.98%),
Disposable income,5232.0,37 (92.50%),3 (7.50%),
Disposable income,5234.0,28 (96.55%),1 (3.45%),
Disposable income,5236.0,18 (85.71%),3 (14.29%),
Disposable income,5237.0,14 (93.33%),1 (6.67%),
Disposable income,5238.0,23 (85.19%),4 (14.81%),
Disposable income,5239.0,12 (75.00%),4 (25.00%),
Disposable income,5240.0,29 (93.55%),2 (6.45%),
Disposable income,5241.0,11 (78.57%),3 (21.43%),
Disposable income,5242.0,22 (91.67%),2 (8.33%),
Disposable income,5243.0,30 (81.08%),7 (18.92%),
Disposable income,5244.0,32 (88.89%),4 (11.11%),
Disposable income,5245.0,28 (93.33%),2 (6.67%),
Disposable income,5246.0,22 (95.65%),1 (4.35%),
Disposable income,5247.0,35 (89.74%),4 (10.26%),
Disposable income,5249.0,25 (92.59%),2 (7.41%),
Disposable income,5250.5,1 (50.00%),1 (50.00%),
Disposable income,5251.0,26 (92.86%),2 (7.14%),
Disposable income,5252.0,16 (94.12%),1 (5.88%),
Disposable income,5253.0,34 (89.47%),4 (10.53%),
Disposable income,5254.0,19 (90.48%),2 (9.52%),
Disposable income,5255.0,35 (89.74%),4 (10.26%),
Disposable income,5256.0,21 (87.50%),3 (12.50%),
Disposable income,5258.0,42 (85.71%),7 (14.29%),
Disposable income,5259.0,30 (93.75%),2 (6.25%),
Disposable income,5260.0,28 (93.33%),2 (6.67%),
Disposable income,5261.0,26 (96.30%),1 (3.70%),
Disposable income,5262.0,37 (92.50%),3 (7.50%),
Disposable income,5263.0,18 (90.00%),2 (10.00%),
Disposable income,5263.6,1 (50.00%),1 (50.00%),
Disposable income,5264.0,17 (94.44%),1 (5.56%),
Disposable income,5264.8,3 (75.00%),1 (25.00%),
Disposable income,5265.0,20 (95.24%),1 (4.76%),
Disposable income,5266.0,28 (93.33%),2 (6.67%),
Disposable income,5267.0,13 (81.25%),3 (18.75%),
Disposable income,5268.0,27 (81.82%),6 (18.18%),
Disposable income,5269.0,18 (90.00%),2 (10.00%),
Disposable income,5270.0,21 (95.45%),1 (4.55%),
Disposable income,5271.0,15 (93.75%),1 (6.25%),
Disposable income,5272.0,11 (78.57%),3 (21.43%),
Disposable income,5273.0,34 (94.44%),2 (5.56%),
Disposable income,5275.0,25 (92.59%),2 (7.41%),
Disposable income,5276.0,58 (90.62%),6 (9.38%),
Disposable income,5277.0,30 (93.75%),2 (6.25%),
Disposable income,5278.0,48 (94.12%),3 (5.88%),
Disposable income,5279.0,26 (86.67%),4 (13.33%),
Disposable income,5280.0,29 (93.55%),2 (6.45%),
Disposable income,5281.0,28 (90.32%),3 (9.68%),
Disposable income,5282.0,43 (95.56%),2 (4.44%),
Disposable income,5283.0,14 (82.35%),3 (17.65%),
Disposable income,5284.0,24 (92.31%),2 (7.69%),
Disposable income,5286.0,18 (78.26%),5 (21.74%),
Disposable income,5287.0,32 (86.49%),5 (13.51%),
Disposable income,5289.0,26 (92.86%),2 (7.14%),
Disposable income,5290.0,39 (92.86%),3 (7.14%),
Disposable income,5292.0,41 (97.62%),1 (2.38%),
Disposable income,5293.0,22 (91.67%),2 (8.33%),
Disposable income,5293.8,3 (75.00%),1 (25.00%),
Disposable income,5294.0,22 (95.65%),1 (4.35%),
Disposable income,5295.0,18 (94.74%),1 (5.26%),
Disposable income,5296.0,23 (95.83%),1 (4.17%),
Disposable income,5297.0,24 (88.89%),3 (11.11%),
Disposable income,5298.0,18 (90.00%),2 (10.00%),
Disposable income,5300.0,18 (94.74%),1 (5.26%),
Disposable income,5302.0,17 (94.44%),1 (5.56%),
Disposable income,5303.0,22 (91.67%),2 (8.33%),
Disposable income,5304.0,42 (95.45%),2 (4.55%),
Disposable income,5305.0,18 (94.74%),1 (5.26%),
Disposable income,5308.0,26 (96.30%),1 (3.70%),
Disposable income,5309.0,9 (90.00%),1 (10.00%),
Disposable income,5310.0,9 (64.29%),5 (35.71%),
Disposable income,5311.0,28 (87.50%),4 (12.50%),
Disposable income,5312.0,29 (90.62%),3 (9.38%),
Disposable income,5313.0,31 (91.18%),3 (8.82%),
Disposable income,5314.0,38 (88.37%),5 (11.63%),
Disposable income,5315.0,18 (90.00%),2 (10.00%),
Disposable income,5316.0,33 (94.29%),2 (5.71%),
Disposable income,5317.0,16 (94.12%),1 (5.88%),
Disposable income,5318.0,21 (91.30%),2 (8.70%),
Disposable income,5320.0,22 (88.00%),3 (12.00%),
Disposable income,5321.0,20 (90.91%),2 (9.09%),
Disposable income,5323.0,14 (93.33%),1 (6.67%),
Disposable income,5324.0,46 (95.83%),2 (4.17%),
Disposable income,5327.0,29 (96.67%),1 (3.33%),
Disposable income,5328.0,22 (91.67%),2 (8.33%),
Disposable income,5329.0,21 (95.45%),1 (4.55%),
Disposable income,5330.0,19 (95.00%),1 (5.00%),
Disposable income,5331.0,22 (91.67%),2 (8.33%),
Disposable income,5334.0,32 (96.97%),1 (3.03%),
Disposable income,5335.0,29 (87.88%),4 (12.12%),
Disposable income,5336.0,2 (66.67%),1 (33.33%),
Disposable income,5337.0,18 (94.74%),1 (5.26%),
Disposable income,5338.0,14 (93.33%),1 (6.67%),
Disposable income,5340.0,23 (92.00%),2 (8.00%),
Disposable income,5341.0,28 (93.33%),2 (6.67%),
Disposable income,5342.0,17 (89.47%),2 (10.53%),
Disposable income,5343.0,26 (96.30%),1 (3.70%),
Disposable income,5344.0,8 (72.73%),3 (27.27%),
Disposable income,5348.0,21 (95.45%),1 (4.55%),
Disposable income,5349.0,35 (87.50%),5 (12.50%),
Disposable income,5350.0,21 (77.78%),6 (22.22%),
Disposable income,5352.0,23 (95.83%),1 (4.17%),
Disposable income,5353.0,41 (93.18%),3 (6.82%),
Disposable income,5355.0,33 (86.84%),5 (13.16%),
Disposable income,5356.0,30 (85.71%),5 (14.29%),
Disposable income,5357.0,20 (83.33%),4 (16.67%),
Disposable income,5357.8614967,3 (75.00%),1 (25.00%),
Disposable income,5358.0,19 (95.00%),1 (5.00%),
Disposable income,5359.0,30 (88.24%),4 (11.76%),
Disposable income,5361.0,28 (82.35%),6 (17.65%),
Disposable income,5362.0,34 (91.89%),3 (8.11%),
Disposable income,5363.0,19 (90.48%),2 (9.52%),
Disposable income,5364.0,25 (92.59%),2 (7.41%),
Disposable income,5365.0,26 (86.67%),4 (13.33%),
Disposable income,5366.0,29 (93.55%),2 (6.45%),
Disposable income,5368.0,23 (88.46%),3 (11.54%),
Disposable income,5369.0,18 (90.00%),2 (10.00%),
Disposable income,5370.0,18 (94.74%),1 (5.26%),
Disposable income,5372.0,30 (93.75%),2 (6.25%),
Disposable income,5373.0,24 (88.89%),3 (11.11%),
Disposable income,5373.8,2 (66.67%),1 (33.33%),
Disposable income,5374.0,28 (96.55%),1 (3.45%),
Disposable income,5376.0,32 (94.12%),2 (5.88%),
Disposable income,5377.0,32 (96.97%),1 (3.03%),
Disposable income,5378.0,24 (96.00%),1 (4.00%),
Disposable income,5379.0,24 (96.00%),1 (4.00%),
Disposable income,5380.0,14 (93.33%),1 (6.67%),
Disposable income,5381.0,19 (86.36%),3 (13.64%),
Disposable income,5382.6,3 (75.00%),1 (25.00%),
Disposable income,5382.8,6 (75.00%),2 (25.00%),
Disposable income,5383.0,34 (97.14%),1 (2.86%),
Disposable income,5384.0,25 (96.15%),1 (3.85%),
Disposable income,5385.0,21 (95.45%),1 (4.55%),
Disposable income,5386.0,25 (96.15%),1 (3.85%),
Disposable income,5387.0,23 (79.31%),6 (20.69%),
Disposable income,5387.4,1 (50.00%),1 (50.00%),
Disposable income,5388.0,22 (95.65%),1 (4.35%),
Disposable income,5389.0,18 (69.23%),8 (30.77%),
Disposable income,5390.0,25 (89.29%),3 (10.71%),
Disposable income,5391.0,35 (94.59%),2 (5.41%),
Disposable income,5393.0,38 (88.37%),5 (11.63%),
Disposable income,5394.0,13 (92.86%),1 (7.14%),
Disposable income,5396.0,37 (94.87%),2 (5.13%),
Disposable income,5397.0,32 (94.12%),2 (5.88%),
Disposable income,5398.0,24 (96.00%),1 (4.00%),
Disposable income,5400.0,30 (90.91%),3 (9.09%),
Disposable income,5401.0,12 (92.31%),1 (7.69%),
Disposable income,5402.0,24 (96.00%),1 (4.00%),
Disposable income,5403.0,22 (91.67%),2 (8.33%),
Disposable income,5404.0,44 (95.65%),2 (4.35%),
Disposable income,5405.0,31 (96.88%),1 (3.12%),
Disposable income,5407.0,17 (80.95%),4 (19.05%),
Disposable income,5408.0,23 (95.83%),1 (4.17%),
Disposable income,5409.0,5 (83.33%),1 (16.67%),
Disposable income,5411.0,14 (93.33%),1 (6.67%),
Disposable income,5412.0,24 (96.00%),1 (4.00%),
Disposable income,5413.0,24 (96.00%),1 (4.00%),
Disposable income,5414.0,28 (87.50%),4 (12.50%),
Disposable income,5415.0,19 (95.00%),1 (5.00%),
Disposable income,5416.0,19 (95.00%),1 (5.00%),
Disposable income,5417.0,31 (93.94%),2 (6.06%),
Disposable income,5417.4,2 (66.67%),1 (33.33%),
Disposable income,5418.0,25 (92.59%),2 (7.41%),
Disposable income,5419.0,30 (93.75%),2 (6.25%),
Disposable income,5421.0,29 (90.62%),3 (9.38%),
Disposable income,5422.0,36 (90.00%),4 (10.00%),
Disposable income,5424.0,28 (93.33%),2 (6.67%),
Disposable income,5425.0,15 (78.95%),4 (21.05%),
Disposable income,5426.0,29 (96.67%),1 (3.33%),
Disposable income,5427.0,28 (96.55%),1 (3.45%),
Disposable income,5427.9,2 (66.67%),1 (33.33%),
Disposable income,5428.0,32 (91.43%),3 (8.57%),
Disposable income,5429.0,34 (94.44%),2 (5.56%),
Disposable income,5430.0,20 (83.33%),4 (16.67%),
Disposable income,5431.0,35 (94.59%),2 (5.41%),
Disposable income,5432.0,16 (84.21%),3 (15.79%),
Disposable income,5435.0,20 (95.24%),1 (4.76%),
Disposable income,5436.0,34 (89.47%),4 (10.53%),
Disposable income,5437.0,23 (92.00%),2 (8.00%),
Disposable income,5438.0,31 (96.88%),1 (3.12%),
Disposable income,5439.0,35 (89.74%),4 (10.26%),
Disposable income,5440.0,31 (96.88%),1 (3.12%),
Disposable income,5442.0,22 (88.00%),3 (12.00%),
Disposable income,5444.0,46 (95.83%),2 (4.17%),
Disposable income,5446.0,28 (96.55%),1 (3.45%),
Disposable income,5448.0,23 (88.46%),3 (11.54%),
Disposable income,5449.0,34 (91.89%),3 (8.11%),
Disposable income,5450.0,30 (96.77%),1 (3.23%),
Disposable income,5451.0,8 (88.89%),1 (11.11%),
Disposable income,5452.0,18 (90.00%),2 (10.00%),
Disposable income,5454.0,15 (88.24%),2 (11.76%),
Disposable income,5455.0,12 (85.71%),2 (14.29%),
Disposable income,5456.0,36 (97.30%),1 (2.70%),
Disposable income,5457.0,17 (94.44%),1 (5.56%),
Disposable income,5459.0,28 (96.55%),1 (3.45%),
Disposable income,5460.0,19 (90.48%),2 (9.52%),
Disposable income,5462.0,12 (85.71%),2 (14.29%),
Disposable income,5463.0,21 (91.30%),2 (8.70%),
Disposable income,5464.0,13 (92.86%),1 (7.14%),
Disposable income,5465.0,20 (90.91%),2 (9.09%),
Disposable income,5466.0,30 (90.91%),3 (9.09%),
Disposable income,5467.0,22 (88.00%),3 (12.00%),
Disposable income,5468.0,8 (72.73%),3 (27.27%),
Disposable income,5470.0,18 (94.74%),1 (5.26%),
Disposable income,5471.0,26 (83.87%),5 (16.13%),
Disposable income,5472.0,37 (92.50%),3 (7.50%),
Disposable income,5473.0,14 (87.50%),2 (12.50%),
Disposable income,5474.0,19 (90.48%),2 (9.52%),
Disposable income,5475.0,31 (93.94%),2 (6.06%),
Disposable income,5476.0,45 (97.83%),1 (2.17%),
Disposable income,5479.0,19 (90.48%),2 (9.52%),
Disposable income,5480.0,25 (92.59%),2 (7.41%),
Disposable income,5482.0,46 (93.88%),3 (6.12%),
Disposable income,5484.0,19 (95.00%),1 (5.00%),
Disposable income,5485.0,11 (78.57%),3 (21.43%),
Disposable income,5486.0,20 (86.96%),3 (13.04%),
Disposable income,5487.0,31 (91.18%),3 (8.82%),
Disposable income,5488.0,14 (93.33%),1 (6.67%),
Disposable income,5491.0,20 (90.91%),2 (9.09%),
Disposable income,5495.0,16 (80.00%),4 (20.00%),
Disposable income,5496.0,31 (91.18%),3 (8.82%),
Disposable income,5498.0,15 (71.43%),6 (28.57%),
Disposable income,5500.0,22 (95.65%),1 (4.35%),
Disposable income,5501.0,26 (89.66%),3 (10.34%),
Disposable income,5503.0,15 (93.75%),1 (6.25%),
Disposable income,5504.0,13 (86.67%),2 (13.33%),
Disposable income,5506.0,26 (92.86%),2 (7.14%),
Disposable income,5508.0,28 (96.55%),1 (3.45%),
Disposable income,5509.0,17 (94.44%),1 (5.56%),
Disposable income,5510.0,33 (86.84%),5 (13.16%),
Disposable income,5511.0,13 (92.86%),1 (7.14%),
Disposable income,5512.0,39 (97.50%),1 (2.50%),
Disposable income,5514.0,38 (97.44%),1 (2.56%),
Disposable income,5515.0,24 (92.31%),2 (7.69%),
Disposable income,5516.0,19 (82.61%),4 (17.39%),
Disposable income,5517.0,40 (90.91%),4 (9.09%),
Disposable income,5518.0,22 (95.65%),1 (4.35%),
Disposable income,5519.0,37 (97.37%),1 (2.63%),
Disposable income,5520.0,36 (94.74%),2 (5.26%),
Disposable income,5521.0,19 (95.00%),1 (5.00%),
Disposable income,5522.0,50 (96.15%),2 (3.85%),
Disposable income,5523.0,33 (94.29%),2 (5.71%),
Disposable income,5524.0,23 (88.46%),3 (11.54%),
Disposable income,5525.0,11 (84.62%),2 (15.38%),
Disposable income,5526.0,18 (78.26%),5 (21.74%),
Disposable income,5527.0,36 (97.30%),1 (2.70%),
Disposable income,5529.0,17 (94.44%),1 (5.56%),
Disposable income,5531.0,17 (80.95%),4 (19.05%),
Disposable income,5532.0,28 (93.33%),2 (6.67%),
Disposable income,5534.0,21 (95.45%),1 (4.55%),
Disposable income,5536.0,29 (90.62%),3 (9.38%),
Disposable income,5537.0,25 (92.59%),2 (7.41%),
Disposable income,5539.0,29 (90.62%),3 (9.38%),
Disposable income,5540.0,23 (92.00%),2 (8.00%),
Disposable income,5541.0,31 (96.88%),1 (3.12%),
Disposable income,5542.0,19 (90.48%),2 (9.52%),
Disposable income,5544.0,35 (89.74%),4 (10.26%),
Disposable income,5545.0,25 (92.59%),2 (7.41%),
Disposable income,5546.0,18 (85.71%),3 (14.29%),
Disposable income,5548.0,27 (79.41%),7 (20.59%),
